"order","base","top","name","abbrev","color","X1","X2","X3"
1,541,485.4,"Cambrian","Cm","#7FA056","Cambrian System","127,160,86","#7FA056"
2,485.4,443.8,"Ordovician","O","#009270","Ordovician System","0,146,112","#009270"
3,443.8,419.2,"Silurian","S","#B3E1B6","Silurian System","179,225,182","#B3E1B6"
4,419.2,358.9,"Devonian","D","#CB8C37","Devonian System","203,140,55","#CB8C37"
5,358.9,298.9,"Carboniferous","C","#67A599","Carboniferous System","103,165,153","#67A599"
6,298.9,251.902,"Permian","P","#F04028","Permian System","240,64,40","#F04028"
7,251.902,201.3,"Triassic","Tr","#812B92","Triassic System","129,43,146","#812B92"
8,201.3,145,"Jurassic","J","#34B2C9","Jurassic System","52,178,201","#34B2C9"
9,145,66,"Cretaceous","K","#7FC64E","Cretaceous System","127,198,78","#7FC64E"
10,66,23.03,"Paleogene","Pg","#FD9A52","Paleogene System","253,154,82","#FD9A52"
11,23.03,2.58,"Neogene","Ng","#FFE619","Neogene System","255,230,25","#FFE619"
12,2.58,0,"Quaternary","Q","#F9F97F","Quaternary System","249,249,127","#F9F97F"
